Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
CA81_FKRN230005364-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	140.69857933	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	fail	54079191.0	pass	fail	pass	49.0	24.6070712512	CA81_FKRN230005364-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
CA81_FKRN230005364-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	140.430874216	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	54079191.0	pass	fail	pass	49.0	25.8468238466	CA81_FKRN230005364-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
CA82_FKRN230005365-1A_HFWVTDSX5_L4_1_val_1	pass	0.0	fail	139.011708206	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	48623673.0	pass	fail	pass	49.0	26.7052289766	CA82_FKRN230005365-1A_HFWVTDSX5_L4_1_val_1.fq.gz	warn	pass
CA82_FKRN230005365-1A_HFWVTDSX5_L4_2_val_2	pass	0.0	fail	138.80829593	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	48623673.0	pass	fail	pass	49.0	25.9304532569	CA82_FKRN230005365-1A_HFWVTDSX5_L4_2_val_2.fq.gz	warn	pass
CA83_FKRN230005366-1A_HFWVTDSX5_L4_1_val_1	pass	0.0	fail	140.4672711	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	48805567.0	pass	fail	pass	49.0	25.9666763477	CA83_FKRN230005366-1A_HFWVTDSX5_L4_1_val_1.fq.gz	warn	pass
CA83_FKRN230005366-1A_HFWVTDSX5_L4_2_val_2	pass	0.0	fail	140.272720057	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	48805567.0	pass	fail	pass	50.0	24.5227254585	CA83_FKRN230005366-1A_HFWVTDSX5_L4_2_val_2.fq.gz	warn	pass
CA84_FKRN230005367-1A_HFWVTDSX5_L4_1_val_1	pass	0.0	fail	139.165742468	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	41908209.0	pass	fail	pass	49.0	27.8949763333	CA84_FKRN230005367-1A_HFWVTDSX5_L4_1_val_1.fq.gz	warn	pass
CA84_FKRN230005367-1A_HFWVTDSX5_L4_2_val_2	pass	0.0	fail	138.994503988	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	41908209.0	pass	fail	pass	49.0	26.4766440819	CA84_FKRN230005367-1A_HFWVTDSX5_L4_2_val_2.fq.gz	warn	pass
CP81_FKRN230005360-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	141.565118799	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	47623675.0	pass	fail	pass	50.0	24.4960055703	CP81_FKRN230005360-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
CP81_FKRN230005360-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	141.324026758	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	47623675.0	pass	fail	pass	50.0	25.2203726282	CP81_FKRN230005360-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
CP82_FKRN230005361-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	139.872592374	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	47114676.0	pass	fail	pass	49.0	26.1540437728	CP82_FKRN230005361-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
CP82_FKRN230005361-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	139.571110433	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	47114676.0	pass	fail	pass	49.0	28.309356841	CP82_FKRN230005361-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
CP83_FKRN230005362-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	140.712892153	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	52393103.0	pass	fail	pass	49.0	25.8346988888	CP83_FKRN230005362-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
CP83_FKRN230005362-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	140.446746206	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	52393103.0	pass	fail	pass	50.0	27.3829648587	CP83_FKRN230005362-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
CP85_FKRN230005376-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	140.247357433	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	45636110.0	pass	fail	pass	49.0	26.0448831704	CP85_FKRN230005376-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
CP85_FKRN230005376-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	139.944950851	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	45636110.0	pass	fail	pass	50.0	28.895830759	CP85_FKRN230005376-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
EA81_FKRN230005372-1A_HFWVTDSX5_L4_1_val_1	pass	0.0	fail	138.770541268	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	40753058.0	pass	fail	pass	50.0	25.5022504753	EA81_FKRN230005372-1A_HFWVTDSX5_L4_1_val_1.fq.gz	warn	pass
EA81_FKRN230005372-1A_HFWVTDSX5_L4_2_val_2	pass	0.0	fail	138.621832379	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	40753058.0	pass	fail	pass	51.0	24.9898309898	EA81_FKRN230005372-1A_HFWVTDSX5_L4_2_val_2.fq.gz	warn	pass
EA82_FKRN230005373-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	142.23147836	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	41913365.0	pass	fail	pass	50.0	23.1163177314	EA82_FKRN230005373-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
EA82_FKRN230005373-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	141.998573892	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	41913365.0	pass	fail	pass	50.0	25.1468853792	EA82_FKRN230005373-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
EA83_FKRN230005374-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	142.405926207	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	44408335.0	pass	fail	pass	51.0	22.9268461491	EA83_FKRN230005374-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
EA83_FKRN230005374-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	142.202623426	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	44408335.0	pass	fail	pass	51.0	23.8669461128	EA83_FKRN230005374-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
EA85_FKRN230005379-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	141.484263715	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	46232006.0	pass	fail	pass	51.0	23.245234175	EA85_FKRN230005379-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
EA85_FKRN230005379-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	141.245014612	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	46232006.0	pass	fail	pass	51.0	25.2349205637	EA85_FKRN230005379-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
EP82_FKRN230005369-1A_HFWWTDSX5_L3_1_val_1	pass	0.0	fail	138.962133001	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	54178759.0	pass	fail	pass	50.0	26.8092195768	EP82_FKRN230005369-1A_HFWWTDSX5_L3_1_val_1.fq.gz	pass	pass
EP82_FKRN230005369-1A_HFWWTDSX5_L3_2_val_2	pass	0.0	fail	138.911195271	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	54178759.0	pass	fail	pass	50.0	27.8460162582	EP82_FKRN230005369-1A_HFWWTDSX5_L3_2_val_2.fq.gz	warn	pass
EP83_FKRN230005370-1A_HFWWTDSX5_L3_1_val_1	pass	0.0	fail	138.649988799	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	42548584.0	pass	fail	pass	50.0	28.861343108	EP83_FKRN230005370-1A_HFWWTDSX5_L3_1_val_1.fq.gz	pass	pass
EP83_FKRN230005370-1A_HFWWTDSX5_L3_2_val_2	pass	0.0	fail	138.589134694	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	42548584.0	pass	fail	pass	50.0	29.2725081686	EP83_FKRN230005370-1A_HFWWTDSX5_L3_2_val_2.fq.gz	warn	pass
EP84_FKRN230005371-1A_HFWWTDSX5_L3_1_val_1	pass	0.0	fail	138.314075189	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	45883860.0	pass	fail	pass	50.0	27.1703095683	EP84_FKRN230005371-1A_HFWWTDSX5_L3_1_val_1.fq.gz	pass	pass
EP84_FKRN230005371-1A_HFWWTDSX5_L3_2_val_2	pass	0.0	fail	138.232427459	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	45883860.0	pass	fail	pass	50.0	27.9289074698	EP84_FKRN230005371-1A_HFWWTDSX5_L3_2_val_2.fq.gz	warn	pass
EP85_FKRN230005378-1A_HFWVTDSX5_L3_1_val_1	pass	0.0	fail	140.194424567	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	44080525.0	pass	fail	pass	50.0	30.5884142052	EP85_FKRN230005378-1A_HFWVTDSX5_L3_1_val_1.fq.gz	warn	pass
EP85_FKRN230005378-1A_HFWVTDSX5_L3_2_val_2	pass	0.0	fail	139.953866089	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	44080525.0	pass	fail	pass	50.0	33.0847299104	EP85_FKRN230005378-1A_HFWVTDSX5_L3_2_val_2.fq.gz	warn	pass
