Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
CA81_FKRN230005364-1A_HFWVTDSX5_L3_1_val_1	75.3929287488	49.0	140.69857933	54079191.0	27.2727272727
CA81_FKRN230005364-1A_HFWVTDSX5_L3_2_val_2	74.1531761534	49.0	140.430874216	54079191.0	18.1818181818
CA82_FKRN230005365-1A_HFWVTDSX5_L4_1_val_1	73.2947710234	49.0	139.011708206	48623673.0	18.1818181818
CA82_FKRN230005365-1A_HFWVTDSX5_L4_2_val_2	74.0695467431	49.0	138.80829593	48623673.0	18.1818181818
CA83_FKRN230005366-1A_HFWVTDSX5_L4_1_val_1	74.0333236523	49.0	140.4672711	48805567.0	18.1818181818
CA83_FKRN230005366-1A_HFWVTDSX5_L4_2_val_2	75.4772745415	50.0	140.272720057	48805567.0	18.1818181818
CA84_FKRN230005367-1A_HFWVTDSX5_L4_1_val_1	72.1050236667	49.0	139.165742468	41908209.0	18.1818181818
CA84_FKRN230005367-1A_HFWVTDSX5_L4_2_val_2	73.5233559181	49.0	138.994503988	41908209.0	18.1818181818
CP81_FKRN230005360-1A_HFWVTDSX5_L3_1_val_1	75.5039944297	50.0	141.565118799	47623675.0	18.1818181818
CP81_FKRN230005360-1A_HFWVTDSX5_L3_2_val_2	74.7796273718	50.0	141.324026758	47623675.0	18.1818181818
CP82_FKRN230005361-1A_HFWVTDSX5_L3_1_val_1	73.8459562272	49.0	139.872592374	47114676.0	18.1818181818
CP82_FKRN230005361-1A_HFWVTDSX5_L3_2_val_2	71.690643159	49.0	139.571110433	47114676.0	18.1818181818
CP83_FKRN230005362-1A_HFWVTDSX5_L3_1_val_1	74.1653011112	49.0	140.712892153	52393103.0	18.1818181818
CP83_FKRN230005362-1A_HFWVTDSX5_L3_2_val_2	72.6170351413	50.0	140.446746206	52393103.0	18.1818181818
CP85_FKRN230005376-1A_HFWVTDSX5_L3_1_val_1	73.9551168296	49.0	140.247357433	45636110.0	18.1818181818
CP85_FKRN230005376-1A_HFWVTDSX5_L3_2_val_2	71.104169241	50.0	139.944950851	45636110.0	18.1818181818
EA81_FKRN230005372-1A_HFWVTDSX5_L4_1_val_1	74.4977495247	50.0	138.770541268	40753058.0	18.1818181818
EA81_FKRN230005372-1A_HFWVTDSX5_L4_2_val_2	75.0101690102	51.0	138.621832379	40753058.0	18.1818181818
EA82_FKRN230005373-1A_HFWVTDSX5_L3_1_val_1	76.8836822686	50.0	142.23147836	41913365.0	18.1818181818
EA82_FKRN230005373-1A_HFWVTDSX5_L3_2_val_2	74.8531146208	50.0	141.998573892	41913365.0	18.1818181818
EA83_FKRN230005374-1A_HFWVTDSX5_L3_1_val_1	77.0731538509	51.0	142.405926207	44408335.0	18.1818181818
EA83_FKRN230005374-1A_HFWVTDSX5_L3_2_val_2	76.1330538872	51.0	142.202623426	44408335.0	18.1818181818
EA85_FKRN230005379-1A_HFWVTDSX5_L3_1_val_1	76.754765825	51.0	141.484263715	46232006.0	18.1818181818
EA85_FKRN230005379-1A_HFWVTDSX5_L3_2_val_2	74.7650794363	51.0	141.245014612	46232006.0	18.1818181818
EP82_FKRN230005369-1A_HFWWTDSX5_L3_1_val_1	73.1907804232	50.0	138.962133001	54178759.0	18.1818181818
EP82_FKRN230005369-1A_HFWWTDSX5_L3_2_val_2	72.1539837418	50.0	138.911195271	54178759.0	18.1818181818
EP83_FKRN230005370-1A_HFWWTDSX5_L3_1_val_1	71.138656892	50.0	138.649988799	42548584.0	18.1818181818
EP83_FKRN230005370-1A_HFWWTDSX5_L3_2_val_2	70.7274918314	50.0	138.589134694	42548584.0	18.1818181818
EP84_FKRN230005371-1A_HFWWTDSX5_L3_1_val_1	72.8296904317	50.0	138.314075189	45883860.0	18.1818181818
EP84_FKRN230005371-1A_HFWWTDSX5_L3_2_val_2	72.0710925302	50.0	138.232427459	45883860.0	18.1818181818
EP85_FKRN230005378-1A_HFWVTDSX5_L3_1_val_1	69.4115857948	50.0	140.194424567	44080525.0	18.1818181818
EP85_FKRN230005378-1A_HFWVTDSX5_L3_2_val_2	66.9152700896	50.0	139.953866089	44080525.0	18.1818181818
