Module	Section	Sample Name	Source
FastQC	all_sections	CA84_FKRN230005367-1A_HFWVTDSX5_L4_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA84_FKRN230005367-1A_HFWVTDSX5_L4_1_val_1_fastqc.zip
FastQC	all_sections	EP85_FKRN230005378-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP85_FKRN230005378-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	CA81_FKRN230005364-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA81_FKRN230005364-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	CA82_FKRN230005365-1A_HFWVTDSX5_L4_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA82_FKRN230005365-1A_HFWVTDSX5_L4_2_val_2_fastqc.zip
FastQC	all_sections	EP84_FKRN230005371-1A_HFWWTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP84_FKRN230005371-1A_HFWWTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	EP82_FKRN230005369-1A_HFWWTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP82_FKRN230005369-1A_HFWWTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EP83_FKRN230005370-1A_HFWWTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP83_FKRN230005370-1A_HFWWTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	EA82_FKRN230005373-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA82_FKRN230005373-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CA82_FKRN230005365-1A_HFWVTDSX5_L4_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA82_FKRN230005365-1A_HFWVTDSX5_L4_1_val_1_fastqc.zip
FastQC	all_sections	EA83_FKRN230005374-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA83_FKRN230005374-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CP81_FKRN230005360-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP81_FKRN230005360-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CA81_FKRN230005364-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA81_FKRN230005364-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	EA85_FKRN230005379-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA85_FKRN230005379-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CP83_FKRN230005362-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP83_FKRN230005362-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	EA81_FKRN230005372-1A_HFWVTDSX5_L4_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA81_FKRN230005372-1A_HFWVTDSX5_L4_2_val_2_fastqc.zip
FastQC	all_sections	CP85_FKRN230005376-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP85_FKRN230005376-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EP83_FKRN230005370-1A_HFWWTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP83_FKRN230005370-1A_HFWWTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EP85_FKRN230005378-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP85_FKRN230005378-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CP83_FKRN230005362-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP83_FKRN230005362-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	CP85_FKRN230005376-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP85_FKRN230005376-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CA83_FKRN230005366-1A_HFWVTDSX5_L4_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA83_FKRN230005366-1A_HFWVTDSX5_L4_1_val_1_fastqc.zip
FastQC	all_sections	EP84_FKRN230005371-1A_HFWWTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP84_FKRN230005371-1A_HFWWTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	CA83_FKRN230005366-1A_HFWVTDSX5_L4_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA83_FKRN230005366-1A_HFWVTDSX5_L4_2_val_2_fastqc.zip
FastQC	all_sections	EP82_FKRN230005369-1A_HFWWTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EP82_FKRN230005369-1A_HFWWTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	CP81_FKRN230005360-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP81_FKRN230005360-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EA83_FKRN230005374-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA83_FKRN230005374-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	CA84_FKRN230005367-1A_HFWVTDSX5_L4_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CA84_FKRN230005367-1A_HFWVTDSX5_L4_2_val_2_fastqc.zip
FastQC	all_sections	CP82_FKRN230005361-1A_HFWVTDSX5_L3_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP82_FKRN230005361-1A_HFWVTDSX5_L3_1_val_1_fastqc.zip
FastQC	all_sections	EA81_FKRN230005372-1A_HFWVTDSX5_L4_1_val_1	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA81_FKRN230005372-1A_HFWVTDSX5_L4_1_val_1_fastqc.zip
FastQC	all_sections	CP82_FKRN230005361-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/CP82_FKRN230005361-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EA82_FKRN230005373-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA82_FKRN230005373-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
FastQC	all_sections	EA85_FKRN230005379-1A_HFWVTDSX5_L3_2_val_2	/home/LAB/lab_glb_2/rnaseq-pipeline/analisisMar2/trimFastQCfiles/EA85_FKRN230005379-1A_HFWVTDSX5_L3_2_val_2_fastqc.zip
